,HomeTeam,AwayTeam,1,X,2
0,Hertha,Mainz,0.29804469787167076,0.2591257005974797,0.4428296015308495
1,FC Koln,Hannover,0.13248312747411392,0.20809835558937637,0.6594185169365098
2,Freiburg,Werder Bremen,0.0958210306650872,0.21005087017543655,0.6941280991594763
3,Hamburg,Leverkusen,0.188857059718055,0.20200939919714336,0.6091335410848017
4,Schalke 04,Hoffenheim,0.17826267298421958,0.21968708028521555,0.6020502467305648
5,Wolfsburg,Bayern Munich,0.22275807041578102,0.28359934923102526,0.4936425803531937
6,Augsburg,Stuttgart,0.19124606410341838,0.20519863335243183,0.6035553025441498
7,M'gladbach,Dortmund,0.34702531704455497,0.26729734941279487,0.3856773335426502
8,Ein Frankfurt,RB Leipzig,0.3443473948404631,0.26782785278960736,0.3878247523699295
